language,files,blank,comment,code,total
Python,11,214,25,1041,1280
Markdown,2,44,0,132,176
"Bourne Shell",5,40,13,124,177
YAML,3,8,8,92,108
JSON,5,0,0,80,80
Cucumber,1,10,0,41,51
Dockerfile,1,0,0,7,7
