language,files,blank,comment,code,total
Python,12,228,224,483,935
"DOS Batch",1,29,1,212,242
make,2,48,6,211,265
reStructuredText,11,93,37,136,266
YAML,1,0,1,17,18
INI,1,4,4,14,22
Markdown,1,4,0,11,15
XML,1,0,0,6,6
