language,files,blank,comment,code,total
Python,24,621,992,2841,4454
Markdown,3,160,0,788,948
make,2,26,6,83,115
YAML,4,14,3,74,91
"Bourne Shell",2,20,32,32,84
"DOS Batch",1,8,1,27,36
reStructuredText,4,28,31,20,79
INI,1,4,1,17,22
