language,files,blank,comment,code,total
Python,96,4790,11758,20198,36746
JSON,6,0,0,12858,12858
JavaScript,54,442,983,3617,5042
SVG,4,196,100,3474,3770
JSX,27,293,602,2904,3799
DTD,1,228,144,1474,1846
CSS,7,102,65,375,542
Markdown,2,70,0,176,246
"Bourne Shell",3,8,11,80,99
reStructuredText,26,41,97,73,211
YAML,2,6,7,35,48
HTML,1,3,20,17,40
make,1,4,7,9,20
