language,files,blank,comment,code,total
Python,7,181,187,485,853
reStructuredText,9,116,78,172,366
make,2,24,6,77,107
"DOS Batch",1,8,1,27,36
INI,1,5,0,14,19
Markdown,1,4,0,11,15
YAML,1,3,3,6,12
