language,files,blank,comment,code,total
Python,34,1325,2835,3697,7857
reStructuredText,16,304,178,611,1093
JavaScript,2,17,48,205,270
MATLAB,1,19,18,64,101
HTML,2,5,0,58,63
Markdown,2,13,0,28,41
"DOS Batch",1,8,1,27,36
YAML,1,3,0,15,18
make,1,4,6,10,20
INI,1,1,0,2,3
