language,files,blank,comment,code,total
Python,21,249,451,604,1304
reStructuredText,4,58,25,106,189
"Bourne Shell",1,10,1,65,76
YAML,2,1,26,39,66
"DOS Batch",1,8,1,27,36
HTML,2,2,0,13,15
make,1,4,6,10,20
CSS,1,1,0,10,11
