language,files,blank,comment,code,total
Python,43,1720,1748,8227,11695
"Jupyter Notebook",32,0,20865,3651,24516
XML,13,0,0,2496,2496
R,5,163,122,1283,1568
Markdown,3,42,0,87,129
YAML,1,5,4,28,37
"DOS Batch",1,3,1,5,9
"Bourne Shell",1,1,0,2,3
