language,files,blank,comment,code,total
CSS,6,1361,375,7369,9105
Python,10,1419,2091,5309,8819
HTML,5,429,6,4771,5206
reStructuredText,19,1380,1147,987,3514
JavaScript,10,84,193,894,1171
Markdown,5,174,0,297,471
"Jupyter Notebook",5,0,2350,261,2611
YAML,2,8,5,46,59
"DOS Batch",1,8,1,26,35
make,1,4,7,9,20
