language,files,blank,comment,code,total
Python,31,677,1859,4217,6753
YAML,17,56,96,1087,1239
Markdown,2,61,0,109,170
Groovy,1,3,1,96,100
Dockerfile,1,6,52,42,100
"Bourne Shell",7,3,10,28,41
INI,1,0,0,3,3
JSON,1,0,0,1,1
