language,files,blank,comment,code,total
XML,20,0,0,1761,1761
Python,14,299,419,1691,2409
XSLT,3,54,127,412,593
Scheme,1,0,0,50,50
YAML,1,1,0,29,30
Markdown,1,12,0,18,30
