language,files,blank,comment,code,total
Python,39,2906,3885,10744,17535
"DOS Batch",1,36,2,243,281
make,1,31,6,193,230
YAML,6,30,16,169,215
reStructuredText,7,59,54,74,187
Markdown,1,2,0,7,9
