,Project_Name,Project_URL,Project_Hash,Test_filename,Test_classname,Test_name,Test_parametrization,flaky?,Verdicts_sameOrder,Passed_sameOrder,Failed_sameOrder,Error_sameOrder,Skipped_sameOrder,numRuns_sameOrder,Verdicts_randomOrder,Passed_randomOrder,Failed_randomOrder,Error_randomOrder,Skipped_randomOrder,numRuns_randomOrder,Flaky_sameOrder_withinIteration,Flaky_randomOrder_withinIteration,Verdict_sameOrder,Verdict_randomOrder,Order-dependent,Flaky_Infrastructure,Test_nodeid,Test_nodeid_inclPara
15,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_duc2003.TestDUC2003,test_download,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_duc2003.py::TestDUC2003::test_download,tests/test_duc2003.py::TestDUC2003::test_download
16,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_duc2004.TestDUC2004,test_download,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_duc2004.py::TestDUC2004::test_download,tests/test_duc2004.py::TestDUC2004::test_download
17,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_gigaword.TestGigaword,test_download,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_gigaword.py::TestGigaword::test_download,tests/test_gigaword.py::TestGigaword::test_download
18,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_imdb.TestIMDB,test_extract,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_imdb.py::TestIMDB::test_extract,tests/test_imdb.py::TestIMDB::test_extract
19,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_movie_review.TestMovieReview,test_download,,non-order-dependent,"{'Passed', 'Failed'}",176,4,0,0,180.0,set(),0,0,0,0,0.0,True,False,Flaky,ZeroRuns,False,False,tests/test_movie_review.py::TestMovieReview::test_download,tests/test_movie_review.py::TestMovieReview::test_download
20,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_movie_review.TestMovieReview,test_extract_polarity_v1,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_movie_review.py::TestMovieReview::test_extract_polarity_v1,tests/test_movie_review.py::TestMovieReview::test_extract_polarity_v1
21,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_movie_review.TestMovieReview,test_extract_rating,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_movie_review.py::TestMovieReview::test_extract_rating,tests/test_movie_review.py::TestMovieReview::test_extract_rating
22,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_movie_review.TestMovieReview,test_extract_subjectivity,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_movie_review.py::TestMovieReview::test_extract_subjectivity,tests/test_movie_review.py::TestMovieReview::test_extract_subjectivity
23,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_movie_review.TestMovieReview,test_prepare_polarity,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_movie_review.py::TestMovieReview::test_prepare_polarity,tests/test_movie_review.py::TestMovieReview::test_prepare_polarity
24,chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,tests.test_multi_nli.TestMultiNLI,test_prepare,,not flaky,{'Passed'},180,0,0,0,180.0,set(),0,0,0,0,0.0,False,False,Passed,ZeroRuns,False,False,tests/test_multi_nli.py::TestMultiNLI::test_prepare,tests/test_multi_nli.py::TestMultiNLI::test_prepare
