language,files,blank,comment,code,total
Python,26,800,537,1970,3307
Markdown,1,38,0,84,122
YAML,3,6,1,83,90
reStructuredText,7,62,91,65,218
"DOS Batch",1,8,1,26,35
make,2,7,7,20,34
JSON,2,0,0,15,15
INI,1,2,0,6,8
JavaScript,1,0,0,1,1
