language,files,blank,comment,code,total
Python,52,1153,1134,4464,6751
"DOS Batch",1,23,1,166,190
reStructuredText,14,58,87,92,237
YAML,3,7,0,67,74
make,2,16,6,26,48
JSON,1,0,0,12,12
INI,2,0,0,7,7
