language,files,blank,comment,code,total
Python,41,553,323,1573,2449
SVG,2,0,1,711,712
HTML,7,68,5,571,644
reStructuredText,12,195,153,150,498
JavaScript,2,22,14,124,160
YAML,8,1,0,49,50
Markdown,1,10,0,36,46
make,1,4,6,10,20
INI,1,2,0,8,10
CSS,2,0,5,2,7
