language,files,blank,comment,code,total
Python,19,1656,2356,6170,10182
reStructuredText,3,152,27,361,540
Markdown,5,124,0,256,380
make,2,40,14,195,249
Ruby,1,28,12,106,146
YAML,2,1,1,22,24
JSON,1,0,0,15,15
TeX,1,0,0,7,7
