language,files,blank,comment,code,total
Python,40,1811,1317,8244,11372
R,2,23,71,312,406
reStructuredText,2,46,36,81,163
make,2,8,7,32,47
"Bourne Shell",1,0,2,23,25
YAML,1,5,2,22,29
INI,1,2,0,16,18
