language,files,blank,comment,code,total
Python,5,254,134,1091,1479
Markdown,2,52,0,130,182
"Bourne Shell",1,6,4,35,45
YAML,1,0,0,19,19
Dockerfile,1,7,4,9,20
INI,1,0,0,2,2
