language,files,blank,comment,code,total
JavaScript,16,2812,2488,10096,15396
HTML,38,1551,37,9496,11084
CSS,8,225,91,8111,8427
Python,23,763,2456,2230,5449
"Jupyter Notebook",14,0,15312,936,16248
SVG,2,0,0,289,289
reStructuredText,5,239,203,276,718
make,1,28,5,136,169
Markdown,2,16,0,46,62
YAML,3,8,0,41,49
"DOS Batch",1,8,1,27,36
