language,files,blank,comment,code,total
Python,48,609,234,1940,2783
YAML,50,72,41,992,1105
Markdown,3,101,0,273,374
reStructuredText,2,101,62,201,364
Ruby,6,30,17,118,165
Dockerfile,6,20,0,78,98
make,1,4,0,8,12
INI,1,2,0,6,8
