language,files,blank,comment,code,total
Python,28,601,935,1212,2748
"DOS Batch",1,29,1,212,242
reStructuredText,6,103,84,146,333
make,1,28,6,143,177
JSON,1,0,0,104,104
YAML,1,0,0,17,17
INI,2,1,0,12,13
