language,files,blank,comment,code,total
Python,18,587,57,2419,3063
JavaScript,6,161,27,669,857
Markdown,1,55,0,147,202
HTML,1,7,0,94,101
reStructuredText,1,82,71,93,246
YAML,3,5,2,26,33
Dockerfile,1,0,0,5,5
CSS,3,0,7,3,10
